iter	Accuracy	MultiClass
0	0.4680931881	1.609009898
1	0.489364396	1.60858158
2	0.4948088124	1.608180071
3	0.4972144847	1.607757559
4	0.503038744	1.607318449
5	0.5111420613	1.606885317
6	0.5163332489	1.606442781
7	0.5222841226	1.606028913
8	0.5259559382	1.605600405
9	0.5312737402	1.605147368
10	0.5335527982	1.604714399
11	0.5340592555	1.604275367
12	0.5334261838	1.603842844
13	0.5335527982	1.603429916
14	0.5355786275	1.60301354
15	0.5336794125	1.602577044
16	0.5341858698	1.602142719
17	0.5359584705	1.601753095
18	0.5395036718	1.601307172
19	0.5405165865	1.600860988
20	0.5383641428	1.600473271
21	0.5358318562	1.600088259
22	0.5381109142	1.599635138
23	0.5384907572	1.599173466
24	0.5387439858	1.59874688
25	0.5383641428	1.598303446
26	0.5391238288	1.597871518
27	0.5372246138	1.597448161
28	0.5353253988	1.597041624
29	0.5359584705	1.596626617
30	0.5359584705	1.596219799
31	0.5363383135	1.595785765
32	0.5365915422	1.595376349
33	0.5369713852	1.594947212
34	0.5348189415	1.594536612
35	0.5353253988	1.594093984
36	0.5370979995	1.593670673
37	0.5368447708	1.59322951
38	0.5358318562	1.592803119
39	0.5378576855	1.592368922
40	0.5384907572	1.59194018
41	0.5381109142	1.591548798
42	0.5402633578	1.5911076
43	0.5402633578	1.590700531
44	0.5391238288	1.590278045
45	0.5387439858	1.589827362
46	0.5392504432	1.589404912
47	0.5388706002	1.589015612
48	0.5396302861	1.588574799
49	0.5403899721	1.588125991
50	0.5405165865	1.587725907
51	0.5402633578	1.587301353
52	0.5406432008	1.586869425
53	0.5398835148	1.586462448
54	0.5395036718	1.586027332
55	0.5398835148	1.585608766
56	0.5392504432	1.58522984
57	0.5395036718	1.584822054
58	0.5403899721	1.584397165
59	0.5416561155	1.583952738
60	0.5414028868	1.583561866
61	0.5417827298	1.583144052
62	0.5415295011	1.582701704
63	0.5415295011	1.582288891
64	0.5401367435	1.581873238
65	0.5410230438	1.581441915
66	0.5412762725	1.581029555
67	0.5408964295	1.580592438
68	0.5415295011	1.580194407
69	0.5414028868	1.579770827
70	0.5416561155	1.579332699
71	0.5410230438	1.57891523
72	0.5415295011	1.578509033
73	0.5408964295	1.578133401
74	0.5405165865	1.577716578
75	0.5406432008	1.577320196
76	0.5403899721	1.576933482
77	0.5408964295	1.576507506
78	0.5412762725	1.576094215
79	0.5405165865	1.575717228
80	0.5411496581	1.575278708
81	0.5408964295	1.574854174
82	0.5411496581	1.574448349
83	0.5414028868	1.574078037
84	0.5422891871	1.57367738
85	0.5417827298	1.573290499
