iter	Passed	Remaining
0	98	196812
1	133	133665
2	161	107206
3	184	91907
4	206	82347
5	228	76085
6	249	71155
7	271	67479
8	292	64598
9	314	62558
10	336	60779
11	357	59173
12	377	57717
13	396	56306
14	416	55100
15	436	54172
16	457	53389
17	478	52670
18	499	52027
19	521	51582
20	542	51169
21	564	50789
22	586	50411
23	606	49905
24	626	49465
25	646	49107
26	668	48817
27	689	48550
28	709	48212
29	730	47984
30	750	47649
31	771	47431
32	791	47203
33	811	46950
34	832	46745
35	852	46515
36	873	46346
37	894	46177
38	915	46027
39	934	45812
40	954	45588
41	974	45416
42	994	45267
43	1015	45132
44	1034	44944
45	1054	44791
46	1074	44629
47	1093	44480
48	1114	44374
49	1134	44258
50	1157	44240
51	1177	44111
52	1197	43984
53	1216	43856
54	1237	43745
55	1257	43639
56	1277	43563
57	1297	43435
58	1316	43314
59	1337	43231
60	1358	43181
61	1377	43049
62	1396	42936
63	1417	42879
64	1438	42811
65	1459	42766
66	1480	42712
67	1501	42664
68	1521	42591
69	1543	42543
70	1563	42477
71	1584	42418
72	1604	42347
73	1624	42286
74	1644	42204
75	1664	42148
76	1685	42082
77	1705	42032
78	1726	41988
79	1747	41939
80	1767	41864
81	1786	41795
82	1807	41739
83	1827	41676
84	1846	41607
85	1866	41551
86	1886	41470
87	1906	41432
88	1927	41383
89	1947	41340
90	1968	41293
91	1988	41229
92	2007	41168
93	2026	41098
94	2046	41039
95	2066	40975
96	2086	40937
97	2108	40912
98	2128	40869
99	2149	40844
100	2170	40809
101	2194	40832
102	2217	40832
103	2240	40844
104	2263	40852
105	2284	40825
106	2305	40781
107	2324	40725
108	2344	40678
109	2364	40627
110	2384	40577
111	2404	40530
112	2424	40479
113	2444	40440
114	2464	40395
115	2486	40377
116	2506	40343
117	2528	40319
118	2547	40273
119	2567	40230
120	2587	40180
121	2607	40142
122	2627	40098
123	2647	40051
124	2666	40004
125	2688	39983
126	2708	39947
127	2728	39898
128	2747	39855
129	2768	39820
130	2789	39793
131	2811	39786
132	2832	39758
133	2852	39726
134	2873	39700
135	2895	39680
136	2915	39651
137	2935	39614
138	2956	39580
139	2976	39548
140	2997	39514
141	3017	39477
142	3038	39456
143	3060	39450
144	3083	39449
145	3105	39435
146	3127	39427
147	3151	39436
148	3174	39439
149	3200	39467
150	3222	39461
151	3244	39449
152	3266	39437
153	3289	39429
154	3312	39434
155	3336	39438
156	3359	39434
157	3380	39412
158	3402	39399
159	3423	39368
160	3444	39342
161	3464	39308
162	3485	39280
163	3506	39259
164	3527	39225
165	3547	39189
166	3568	39169
167	3589	39141
168	3610	39116
169	3630	39085
170	3651	39057
171	3671	39021
172	3692	38994
173	3713	38965
174	3732	38924
175	3753	38897
176	3774	38879
177	3796	38865
178	3818	38842
179	3839	38819
180	3859	38787
181	3880	38759
182	3900	38729
183	3923	38719
184	3944	38697
185	3963	38651
186	3983	38617
187	4004	38594
188	4025	38572
189	4045	38537
190	4065	38506
191	4085	38475
192	4107	38457
193	4129	38441
194	4149	38408
195	4168	38371
196	4188	38333
197	4209	38313
198	4230	38291
199	4251	38259
200	4270	38219
201	4290	38185
202	4309	38151
203	4330	38124
204	4349	38088
205	4370	38061
206	4391	38038
207	4411	38008
208	4431	37979
209	4452	37952
210	4472	37919
211	4492	37890
212	4512	37860
213	4532	37828
214	4552	37795
215	4573	37769
216	4593	37745
217	4613	37711
218	4634	37690
219	4655	37663
220	4675	37635
221	4696	37611
222	4716	37581
223	4737	37558
224	4756	37525
225	4777	37499
226	4797	37468
227	4817	37438
228	4837	37409
229	4858	37393
230	4880	37374
231	4902	37357
232	4921	37325
233	4940	37283
234	4959	37247
235	4979	37219
236	4999	37189
237	5020	37169
238	5041	37143
239	5062	37122
240	5084	37113
241	5106	37097
242	5127	37075
243	5148	37048
244	5168	37021
245	5189	37000
246	5210	36977
247	5230	36950
248	5249	36917
249	5270	36895
250	5291	36874
251	5312	36851
252	5333	36828
253	5353	36803
254	5375	36788
255	5397	36773
256	5418	36751
257	5439	36727
258	5459	36701
259	5482	36693
260	5516	36755
261	5541	36762
262	5565	36760
263	5587	36738
264	5608	36718
265	5635	36735
266	5657	36719
267	5680	36710
268	5703	36698
269	5727	36697
270	5752	36701
271	5782	36732
272	5804	36718
273	5847	36836
274	5882	36896
275	5905	36890
276	5943	36970
277	5967	36965
278	5992	36967
279	6014	36949
280	6052	37028
281	6076	37017
282	6097	36994
283	6118	36967
284	6140	36950
285	6162	36929
286	6182	36903
287	6206	36894
288	6227	36868
289	6251	36860
290	6274	36848
291	6295	36826
292	6316	36799
293	6339	36788
294	6362	36775
295	6385	36759
296	6406	36737
297	6428	36715
298	6449	36691
299	6471	36671
300	6491	36643
301	6512	36615
302	6534	36598
303	6558	36590
304	6581	36573
305	6603	36556
306	6624	36530
307	6646	36510
308	6666	36480
309	6701	36533
310	6727	36536
311	6762	36584
312	6789	36591
313	6821	36629
314	6851	36651
315	6875	36640
316	6895	36607
317	6919	36600
318	6940	36573
319	6961	36550
320	6983	36526
321	7009	36528
322	7039	36549
323	7070	36574
324	7098	36584
325	7123	36580
326	7145	36557
327	7173	36568
328	7196	36551
329	7229	36588
330	7265	36632
331	7289	36624
332	7315	36621
333	7337	36602
334	7360	36583
335	7381	36557
336	7405	36543
337	7425	36513
338	7447	36490
339	7469	36467
340	7490	36441
341	7513	36422
342	7533	36395
343	7554	36368
344	7578	36353
345	7600	36334
346	7621	36308
347	7643	36282
348	7664	36255
349	7684	36228
350	7706	36203
351	7731	36196
352	7752	36170
353	7780	36179
354	7803	36159
355	7824	36134
356	7846	36113
357	7867	36083
358	7888	36059
359	7910	36038
360	7935	36026
361	7957	36007
362	7978	35981
363	8000	35957
364	8022	35935
365	8045	35920
366	8069	35906
367	8091	35885
368	8111	35855
369	8134	35837
370	8158	35822
371	8181	35803
372	8202	35779
373	8223	35752
374	8246	35735
375	8271	35727
376	8293	35704
377	8315	35683
378	8342	35680
379	8366	35668
380	8393	35667
381	8417	35655
382	8439	35630
383	8461	35606
384	8482	35583
385	8504	35561
386	8528	35546
387	8553	35535
388	8579	35531
389	8601	35508
390	8621	35480
391	8643	35454
392	8664	35430
393	8686	35406
394	8708	35383
395	8729	35357
396	8750	35330
397	8773	35316
398	8797	35298
399	8818	35274
400	8841	35256
401	8864	35238
402	8886	35216
403	8907	35187
404	8929	35165
405	8949	35137
406	8973	35121
407	8995	35100
408	9017	35076
409	9042	35068
410	9065	35047
411	9085	35018
412	9106	34994
413	9128	34970
414	9149	34945
415	9170	34919
416	9192	34895
417	9213	34871
418	9239	34864
419	9261	34840
420	9282	34816
421	9304	34793
422	9325	34768
423	9346	34739
424	9367	34714
425	9388	34689
426	9409	34662
427	9429	34634
428	9452	34616
429	9474	34592
430	9494	34564
431	9515	34536
432	9535	34507
433	9555	34478
434	9576	34452
435	9596	34425
436	9620	34408
437	9644	34393
438	9665	34369
439	9685	34340
440	9706	34313
441	9725	34282
442	9747	34258
443	9769	34235
444	9792	34217
445	9813	34193
446	9835	34169
447	9855	34141
448	9875	34112
449	9896	34086
450	9921	34075
451	9942	34050
452	9963	34024
453	9985	34001
454	10006	33976
455	10026	33949
456	10046	33921
457	10067	33893
458	10088	33869
459	10107	33838
460	10128	33813
461	10149	33787
462	10170	33761
463	10192	33739
464	10212	33713
465	10233	33685
466	10254	33661
467	10275	33635
468	10295	33608
469	10316	33583
470	10337	33557
471	10364	33551
472	10386	33531
473	10407	33505
474	10428	33481
475	10450	33458
476	10470	33432
477	10492	33407
478	10512	33380
479	10546	33396
480	10570	33380
481	10591	33356
482	10611	33328
483	10631	33301
484	10653	33277
485	10675	33255
486	10696	33231
487	10718	33208
488	10739	33186
489	10761	33162
490	10782	33138
491	10803	33113
492	10823	33084
493	10843	33057
494	10865	33035
495	10886	33012
496	10906	32984
497	10928	32961
498	10948	32933
499	10969	32908
500	10989	32882
501	11011	32859
502	11031	32832
503	11050	32801
504	11071	32776
505	11093	32753
506	11114	32728
507	11134	32702
508	11156	32681
509	11182	32669
510	11204	32647
511	11225	32625
512	11248	32604
513	11270	32582
514	11291	32557
515	11312	32533
516	11335	32514
517	11355	32488
518	11377	32467
519	11399	32443
520	11420	32419
521	11441	32395
522	11462	32370
523	11483	32347
524	11505	32323
525	11526	32299
526	11546	32273
527	11567	32248
528	11588	32223
529	11608	32197
530	11630	32176
531	11651	32150
532	11673	32128
533	11694	32106
534	11716	32082
