,data_id,dataname,tasktype,trial,modelname,perf
0,25,CL,binclass,0,xgb,0.5714285714285714
1,461,ACS,binclass,0,xgb,1.0
2,210,TR,regression,0,xgb,0.6477130381831591
3,551,AM,multiclass,0,xgb,
4,466,SZ,binclass,0,xgb,0.4166666666666667
5,42665,RD,binclass,0,xgb,1.0
6,444,BX,binclass,0,xgb,0.7857142857142857
7,171,PM,multiclass,0,xgb,0.3571428571428571
8,497,VT,regression,0,xgb,148.5761194850976
9,7,AU,multiclass,0,xgb,
10,10,LY,multiclass,0,xgb,0.6
11,1099,ES,regression,0,xgb,1825.1094487728676
12,48,TAE,multiclass,0,xgb,0.5
13,338,GG,multiclass,0,xgb,0.1875
14,40916,HR,regression,0,xgb,0.3105567354760097
15,23381,DS,binclass,0,xgb,0.7777777777777778
16,4153,RH,multiclass,0,xgb,0.9444444444444444
17,505,TF,regression,0,xgb,5.519915676025728
18,560,FAT,regression,0,xgb,1.5621881555264756
19,51,HH,binclass,0,xgb,0.7407407407407407
20,566,ME,regression,0,xgb,215.2263888037431
21,452,BW,multiclass,0,xgb,0.2962962962962963
22,53,HT,binclass,0,xgb,0.8148148148148148
23,524,PBC,regression,0,xgb,0.784000361972842
24,49,HC,binclass,0,xgb,0.8666666666666667
25,194,CD,regression,0,xgb,0.838515468843702
26,42370,YH,regression,0,xgb,1.7809477432526697
27,474,AMK,multiclass,0,xgb,0.5625
28,511,PR,regression,0,xgb,222.5186965459307
29,509,AH,regression,0,xgb,945.8689457319128
30,456,ABD,regression,0,xgb,388.53382253029145
31,8,LV,regression,0,xgb,3.362136202847318
32,337,STF,binclass,0,xgb,0.9428571428571428
33,59,IO,binclass,0,xgb,0.9444444444444444
34,35,DT,multiclass,0,xgb,1.0
35,42360,DEE,regression,0,xgb,0.3635863591825339
36,455,CAR,multiclass,0,xgb,0.675
37,475,AG,multiclass,0,xgb,0.3
38,5,AE,multiclass,0,xgb,0.7142857142857143
39,40496,LED,multiclass,0,xgb,0.72
40,531,HB,regression,0,xgb,3.215118581860141
41,1063,KD,binclass,0,xgb,0.8490566037735849
42,703,CF,regression,0,xgb,0.7915142230444613
43,313,STM,multiclass,0,xgb,
44,534,CW,regression,0,xgb,4.163235408668739
45,1467,CMC,binclass,0,xgb,0.9444444444444444
46,44968,SM,regression,0,xgb,0.0263282490569596
47,42,SB,multiclass,0,xgb,0.9649122807017544
48,1510,WCB,binclass,0,xgb,0.9649122807017544
49,334,MO,binclass,0,xgb,0.6557377049180327
50,549,SV,regression,0,xgb,301.0617669183518
51,11,BS,multiclass,0,xgb,0.9206349206349206
52,188,EU,multiclass,0,xgb,0.6
53,29,CV,binclass,0,xgb,0.7878787878787878
54,470,PB,binclass,0,xgb,0.6470588235294118
55,43611,WC,regression,0,xgb,0.1463957327624362
56,40981,AT,binclass,0,xgb,0.8985507246376812
57,45102,DB,regression,0,xgb,168.99107201824302
58,1464,BT,binclass,0,xgb,0.72
59,1549,AUS,multiclass,0,xgb,0.16
60,37,PD,binclass,0,xgb,0.7532467532467533
61,43962,EE,regression,0,xgb,1.2467089721739926
62,469,DM,multiclass,0,xgb,0.125
63,458,ATH,multiclass,0,xgb,1.0
64,54,VE,multiclass,0,xgb,0.7647058823529411
65,45545,TTC,binclass,0,xgb,0.9111111111111112
66,50,TTT,binclass,0,xgb,0.9166666666666666
67,307,VW,multiclass,0,xgb,0.8888888888888888
68,1555,AUL,multiclass,0,xgb,0.21
69,31,CS,binclass,0,xgb,0.72
70,1494,QB,binclass,0,xgb,0.8773584905660378
71,4544,OM,regression,0,xgb,0.4849009734501727
72,41702,MIP,regression,0,xgb,882.6648217188674
73,934,SC,binclass,0,xgb,0.913793103448276
74,1479,HV,binclass,0,xgb,0.5655737704918032
75,41021,MY,regression,0,xgb,24.173575560332274
76,41265,TC,regression,0,xgb,28.28982734225657
77,454,HF,multiclass,0,xgb,0.946969696969697
78,185,BB,multiclass,0,xgb,0.9393939393939394
79,43466,BNA,regression,0,xgb,0.1259064072427835
80,1462,BNB,binclass,0,xgb,0.9927536231884058
81,23,CE,multiclass,0,xgb,0.5743243243243243
82,43919,AF,regression,0,xgb,2.746715925555809
83,42931,AUD,binclass,0,xgb,0.9806451612903224
84,1501,SE,multiclass,0,xgb,0.90625
85,1493,PT,multiclass,0,xgb,0.63125
86,1492,PS,multiclass,0,xgb,0.53125
87,1504,SPF,binclass,0,xgb,1.0
88,315,VC,regression,0,xgb,0.144273534610629
89,14,MF,multiclass,0,xgb,0.79
90,20,MP,multiclass,0,xgb,0.935
91,12,MA,multiclass,0,xgb,0.945
92,16,MK,multiclass,0,xgb,0.92
93,18,MR,multiclass,0,xgb,0.725
94,22,MZ,multiclass,0,xgb,0.745
95,41700,CPM,regression,0,xgb,463.364192617427
96,1067,KC,binclass,0,xgb,0.8672985781990521
97,1466,CTC,multiclass,0,xgb,1.0
98,36,SG,multiclass,0,xgb,0.9783549783549784
99,1487,OZ,binclass,0,xgb,0.9566929133858268
100,44091,WB,binclass,0,xgb,0.76171875
101,42727,CG,regression,0,xgb,0.0910593701291424
102,43926,AMH,regression,0,xgb,21433.26162766647
103,41143,JA,binclass,0,xgb,0.8494983277591973
104,507,VP,regression,0,xgb,0.1174749861442316
